league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,11,,goal,B. Al-Hurayji,False,,,,,,,0,1
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,20,,card,S. Alnajdi,True,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,45,,period,,,,,,,HT,,1,1
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,45,5,goal,S. Costa,True,,,,,,,1,1
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,45,,injuryTime,,,,,,,,6,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,46,,substitution,,False,,,P. Guiagon,M. A. Aqal,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,50,,goal,C. Ronaldo,True,,,,,,,2,1
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,59,,substitution,,False,,,M. Al-Kuwaykibi,Y. E. Bahraoui,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,73,,substitution,,False,,,A. Hendi,B. Al-Hurayji,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,75,,card,M. Petkov,False,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,80,,substitution,,True,,,A. Al-Khaibari,Ângelo,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,80,,substitution,,True,,,A. Al-Hamdan,C. Ronaldo,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,85,,substitution,,False,,,S. R. Mohamed,O. Dorley,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,85,,substitution,,False,,,R. Al-Tulayhi,M. Petkov,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,87,,substitution,,True,,,A. Yahya,K. Coman,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,87,,substitution,,True,,,S. Al Naji,S. Costa,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,90,,period,,,,,,,FT,,2,1
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,90,3,card,J. Félix,True,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,90,,injuryTime,,,,,,,,5,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,8,,goal,D. Núñez,False,,,,,,,0,1
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,26,,card,K. Al-Asiri,False,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,27,,substitution,,True,,,M. A. Khayrallah,R. Al-Oteibi,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,45,,period,,,,,,,HT,,0,1
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,45,,injuryTime,,,,,,,,2,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,49,,card,M. A. Khayrallah,True,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,53,,goal,A. Boulbina,False,,,,,,,0,2
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,54,,substitution,,True,,,R. M. Tanfouri,J. Larsson,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,54,,substitution,,True,,,K. Al-Ghannam,Y. Shammari,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,58,,substitution,,False,,,A. Al-Faraj,T. Wadi,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,59,,substitution,,False,,,M. Hameran,K. Al-Asiri,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,59,,substitution,,False,,,H. Bahebri,A. Boulbina,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,72,,substitution,,True,,,F. A. Ghamdi,B. Celina,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,73,,substitution,,True,,,A. A. Bishi,M. Alaeli,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,81,,goal,D. Núñez,False,,,,,,,0,3
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,82,,substitution,,False,,,M. F. Al-Nemer,Ó. Rodríguez,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,89,,substitution,,False,,,A. Al-Malki,D. Núñez,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,90,,period,,,,,,,FT,,0,3
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,90,,injuryTime,,,,,,,,3,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,42,,card,M. Saadane,True,yellow,Argument,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,45,,period,,,,,,,HT,,0,0
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,45,3,card,H. Kadesh,False,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,45,,injuryTime,,,,,,,,3,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,46,,card,A. Faris,False,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,47,,card,Z. Youssef,True,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,53,,card,S. Baattia,True,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,55,,card,D. Lopy,False,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,63,,substitution,,False,,,J. Simić,A. Al-Julaydan,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,63,,substitution,,False,,,M. Faqeehi,A. Faris,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,65,,substitution,,True,,,A. R. A. Khaibari,F. A. Abdulwahed,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,65,,substitution,,True,,,S. Al-Shurafa,F. Zubaidi,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,68,,substitution,,False,,,G. Ilenikhena,M. Al-Sahafi,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,68,,substitution,,False,,,A. Al-Ghamdi,A. Mukhtar,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,75,,card,J. Simić,False,yellow,Foul,,,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,89,,substitution,,True,,,Z. Aljari,A. A. Khaibari,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,89,,substitution,,True,,,A. A. Suwailem,W. Kanga,,,,
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,89,,substitution,,False,,,F. Alshamrani,S. Bergwijn,,,,
