league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,12,,card,L. Cingolani,False,yellow,Foul,,,,,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,38,,card,L. Godoy,True,yellow,Foul,,,,,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,42,,goal,E. Fernández,False,,,,,,,0,1
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,45,,period,,,,,,,HT,,0,1
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,45,,injuryTime,,,,,,,,3,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,53,,goal,F. Lencioni,False,,,,,,,0,2
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,59,,substitution,,True,,,C. Ávila,M. Gutiérrez,,,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,59,,substitution,,True,,,M. Abaldo,J. Palais,,,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,60,,goal,F. Lencioni,False,,,,,,,0,3
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,63,,substitution,,False,,,M. Vargas,L. Cingolani,,,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,63,,substitution,,False,,,B. Andrada,E. Fernández,,,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,65,,substitution,,False,,,I. Sabatini,A. Modica,,,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,77,,substitution,,True,,,M. Meza,L. Millán,,,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,77,,substitution,,True,,,J. Fedorco,L. Godoy,,,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,79,,substitution,,False,,,S. Rodríguez,T. O'Connor,,,,
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,79,,substitution,,False,,,N. Barboza,F. Antonini,,,,
