league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,34,,goal,Hygor,True,,,,,,,1,0
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,38,,goal,E. Morelli,True,,,,,,,2,0
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,39,,card,E. Morelli,True,yellow,,,,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,43,,card,Luiz Fernando,False,yellow,,,,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,45,,goal,Vilar,True,,,,,,,3,0
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,46,,substitution,,False,,,Welliton,Vitinho,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,46,,substitution,,False,,,L. Crispim,R. Santos,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,46,,substitution,,False,,,L. Prior,T. Pochettino,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,52,,goal,E. Morelli,True,,,,,,,4,0
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,63,,substitution,,True,,,Matheus Sales,E. Morelli,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,63,,card,L. Gazal,False,yellow,,,,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,66,,substitution,,False,,,P. Baya,J. Miritello,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,73,,substitution,,True,,,Thiaguinho,R. Gava,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,73,,substitution,,True,,,F. Vieira,P. Brey,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,75,,card,L. Crispim,False,yellow,,,,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,81,,card,L. Sasha,False,yellow,,,,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,82,,substitution,,False,,,Ryan,L. Sasha,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,88,,card,Maílton,False,yellow,,,,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,90,,card,F. Vieira,True,yellow,,,,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,90,,substitution,,True,,,Marquinho,L. Maciel,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,90,,substitution,,True,,,J. Nem,Kelvin,,,,
brasileirao_serie_b_2026,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,90,,card,Maílton,False,red,,,,,,,
brasileirao_serie_b_2026,2026-03-21,1,Ceará,São Bernardo,1,1,42,,substitution,,False,,,Marcão Silva,R. Andrade,,,,
