league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,15,,card,Ž. Zaletel,True,yellow,Foul,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,45,,period,,,,,,,HT,,0,0
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,56,,goal,T. Jørgensen,True,,,,,,,1,0
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,57,,substitution,,True,,,S. Jalal,B. Brahimi,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,74,,substitution,,False,,,L. Legolas,J. Niemiec,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,74,,card,J. Grønning,True,yellow,Foul,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,76,,substitution,,True,,,D. Anyembe,S. Kuzmić,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,76,,substitution,,True,,,P. Keller,A. Beck,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,77,,card,J. Gomez,False,yellow,Foul,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,79,,substitution,,False,,,U. Jenssen,J. Gomez,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,79,,substitution,,False,,,M. Andersen,P. Therkildsen,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,80,,substitution,,True,,,M. Hoedemakers,C. Nouck,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,81,,substitution,,True,,,A. Kleis-Kristoffersen,D. Hanza,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,87,,substitution,,False,,,N. Juul-Sandberg,F. Arp,,,,
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,90,,period,,,,,,,FT,,1,0
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,90,,injuryTime,,,,,,,,3,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,19,,card,M. Köhlert,False,yellow,Foul,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,26,,card,B. Slisz,False,yellow,Foul,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,45,,period,,,,,,,HT,,0,0
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,46,,substitution,,False,,,M. Divković,M. Köhlert,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,53,,goal,B. Slisz,False,,,,,,,0,1
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,56,,card,F. Bundgaard,False,yellow,Foul,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,61,,substitution,,True,,,J. Jønsson,M. Anderson,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,61,,substitution,,True,,,J. Bogere,S. Jørgensen,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,65,,substitution,,False,,,M. Jensen,M. Ejdum,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,65,,substitution,,False,,,O. Fenger,P. Mortensen,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,67,,card,M. Divković,False,yellow,Foul,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,73,,substitution,,False,,,J. Ambaek,F. Bundgaard,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,76,,substitution,,True,,,J. Jensen-Abbew,J. Andersen,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,76,,substitution,,True,,,R. Carstensen,F. Emmery,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,81,,substitution,,False,,,D. Wass,M. Frøkjær-Jensen,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,82,,varDecision,T. Bech,True,,,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,83,,card,L. Binks,False,yellow,Foul,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,84,,goal,K. Arnstad,True,,,,,,,1,1
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,85,,card,E. Kahl,True,yellow,Foul,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,88,,substitution,,True,,,T. Ó. Kristjánsson,G. Links,,,,
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,90,,period,,,,,,,FT,,1,1
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,90,,injuryTime,,,,,,,,4,,
dinamarca_danish_superliga_2026_2027,2026-07-26,1,AC Horsens,FC Nordsjælland,1,1,33,,goal,N. Røjkjær,False,,,,,,,0,1
dinamarca_danish_superliga_2026_2027,2026-07-26,1,AC Horsens,FC Nordsjælland,1,1,40,,varDecision,K. Kirkegaard,True,,,,,,,,
dinamarca_danish_superliga_2026_2027,2026-07-26,1,AC Horsens,FC Nordsjælland,1,1,43,,goal,A. Justinussen,True,,,,,,,1,1
dinamarca_danish_superliga_2026_2027,2026-07-26,1,AC Horsens,FC Nordsjælland,1,1,45,,period,,,,,,,HT,,1,1
dinamarca_danish_superliga_2026_2027,2026-07-26,1,AC Horsens,FC Nordsjælland,1,1,45,,injuryTime,,,,,,,,3,,
