league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,17,,goal,I. Yegoian,False,,,,,,,0,1
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,31,,goal,N. Naujoks,False,,,,,,,0,2
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,42,,goal,D. Garden,False,,,,,,,0,3
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,45,,period,,,,,,,HT,,0,3
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,46,,substitution,,True,,,M. Costarelli,R. Mulders,,,,
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,46,,substitution,,True,,,S. Bouhoudane,R. v. d. Pavert,,,,
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,66,,substitution,,True,,,E. Apkakou,L. Jetten,,,,
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,69,,goal,N. Naujoks,False,,,,,,,0,4
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,74,,substitution,,False,,,C. Widell,N. Martens,,,,
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,74,,substitution,,False,,,N. Groen,D. Garden,,,,
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,75,,substitution,,False,,,A. Sliti,I. Yegoian,,,,
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,81,,substitution,,True,,,W. v. d. Goot,S. Vink,,,,
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,81,,substitution,,False,,,O. Turay,S. Janssen,,,,
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,85,,substitution,,False,,,I. S. Timas,G. d. Regt,,,,
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,90,,period,,,,,,,FT,,0,4
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,90,4,varDecision,I. S. Timas,False,,,,,,,,
eredivisie_2026_2027,2026-08-07,1,SC Cambuur,Excelsior,0,4,90,,injuryTime,,,,,,,,2,,
eredivisie_2026_2027,2026-08-08,1,AZ Alkmaar,ADO Den Haag,2,0,23,,varDecision,E. Dijkstra,True,,,,,,,,
eredivisie_2026_2027,2026-08-08,1,AZ Alkmaar,ADO Den Haag,2,0,45,,period,,,,,,,HT,,0,0
eredivisie_2026_2027,2026-08-08,1,AZ Alkmaar,ADO Den Haag,2,0,45,,injuryTime,,,,,,,,3,,
eredivisie_2026_2027,2026-08-08,1,AZ Alkmaar,ADO Den Haag,2,0,57,,substitution,,True,,,T. Parrott,M. Meerdink,,,,
