league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,45,,period,,,,,,,HT,,0,0
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,46,,goal,A. Gouiri,True,,,,,,,1,0
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,48,,card,S. Amo-Ameyaw,False,yellow,Foul,,,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,58,,varDecision,S. E. Mourabet,False,,,,,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,59,,card,S. E. Mourabet,False,red,Violent conduct,,,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,61,,card,S. Mara,False,yellow,Foul,,,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,65,,varDecision,I. Paixão,True,,,,,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,68,,goal,A. Gouiri,True,,,,,,,2,0
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,69,,substitution,,False,,,J. Ortega,S. Mara,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,69,,substitution,,False,,,G. Reyna,S. Amo-Ameyaw,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,69,,substitution,,False,,,P. Diop,D. Lobao,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,75,,substitution,,True,,,N. Aguerd,C. Egan-Riley,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,79,,substitution,,False,,,F. Baldé,S. Nanasi,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,79,,substitution,,False,,,M. D. Blanco,G. Antwi,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,79,,card,N. Aguerd,True,yellow,Foul,,,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,83,,substitution,,True,,,K. Abdallah,A. Harit,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,83,,substitution,,True,,,T. Nnadi,H. Abdelli,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,83,,substitution,,True,,,D. Cornelius,G. Kondogbia,,,,
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,89,,goal,K. Abdallah,True,,,,,,,3,0
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,90,,period,,,,,,,FT,,4,0
