league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,5,,card,S. Stroungis,False,yellow,Foul,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,8,,card,G. Satsias,True,yellow,Foul,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,26,,goal,G. Granath,True,,,,,,,1,0
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,32,,card,A. Sigurðsson,False,yellow,Foul,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,35,,card,C. Manrique,True,yellow,Foul,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,45,,period,,,,,,,HT,,1,0
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,45,,card,D. Diarra,False,yellow,Foul,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,45,,injuryTime,,,,,,,,3,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,57,,card,J. Bonetto,False,yellow,Foul,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,58,,substitution,,True,,,Y. Badji,M. Mejia,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,58,,substitution,,False,,,M. Carreazo,D. Diarra,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,58,,substitution,,False,,,I. Chatzitheodoridis,J. Bonetto,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,62,,substitution,,False,,,S. Aggelis,E. Hamza,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,64,,substitution,,True,,,N. Eraković,L. Kojić,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,76,,card,A. M. Moreira,False,yellow,Argument,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,78,,substitution,,True,,,S. Soumah,D. Esteban,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,78,,substitution,,True,,,M. Nakamba,G. Satsias,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,78,,substitution,,True,,,K. Aleksić,M. Djenepo,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,83,,substitution,,False,,,A. Martín,A. Sigurðsson,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,83,,substitution,,False,,,A. Liatsikouras,J. Cataldi,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,90,,period,,,,,,,FT,,2,0
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,90,4,goal,S. Soumah,True,,,,,,,2,0
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,90,3,card,N. Eraković,True,yellow,Foul,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,90,,injuryTime,,,,,,,,4,,
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,AE Kifisia,AEK Athens,1,1,18,,card,I. Jagne,True,yellow,Foul,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,AE Kifisia,AEK Athens,1,1,18,,card,A. Koita,False,yellow,Foul,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,AE Kifisia,AEK Athens,1,1,29,,substitution,,False,,,O. Zubkov,A. Koita,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,AE Kifisia,AEK Athens,1,1,31,,card,H. Sousa,True,yellow,Foul,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,AE Kifisia,AEK Athens,1,1,45,,period,,,,,,,HT,,0,0
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,AE Kifisia,AEK Athens,1,1,45,,injuryTime,,,,,,,,1,,
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,AE Kifisia,AEK Athens,1,1,57,,card,R. v. Eijma,True,yellow,Time wasting,,,,,,
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,AE Kifisia,AEK Athens,1,1,63,,card,M. Ramírez,True,yellow,Argument,,,,,,
