league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,90,,period,,,,,,,FT,,2,2
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,89,,goal,K. Dong-hyeon,True,,,,,,,2,2
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,88,,goal,M. Tuci,True,,,,,,,1,2
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,86,,substitution,,False,,,M. Lee,W. J. Park,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,81,,card,J. H. Mo,True,yellow,Foul,,,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,73,,substitution,,True,,,J. H. Mo,C. Won-Woo,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,73,,substitution,,True,,,H. Y. Park,S. W. Lee,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,68,,substitution,,False,,,H. A. Friðjónsson,K. Woo-Jin,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,68,,card,H. Chul,True,red,Violent conduct,,,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,68,,substitution,,False,,,J. Iredale,J. Jeong,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,66,,card,K. Woo-Jin,False,yellow,Foul,,,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,57,,substitution,,True,,,J. Sekidika,K. Yun-Gu,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,57,,substitution,,True,,,K. Gun-hee,P. Sang-Hyeok,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,53,,substitution,,False,,,S. Im,S. Min,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,46,,substitution,,False,,,S. J. Ju,Y. Kim,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,45,,period,,,,,,,HT,,0,2
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,45,,goal,M. Moon,False,,,,,,,0,2
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,22,,substitution,,True,,,S. W. Lee,Y. Goh,,,,
k_league_1_2026,2026-08-26,25,Gangwon FC,Gwangju FC,2,2,5,,goal,M. Moon,False,,,,,,,0,1
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,90,,period,,,,,,,FT,,2,1
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,90,1,card,C. Lee,True,yellow,Foul,,,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,90,,card,C. Y. Lee,False,yellow,Foul,,,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,89,,card,S. Jae-Min,False,yellow,Foul,,,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,87,,card,M. J. Lee,False,yellow,Foul,,,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,86,,card,H. Chae,True,yellow,Foul,,,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,84,,goal,M. Oliveira,True,,,,,,,2,1
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,83,,card,J. Fernández,False,yellowRed,Foul,,,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,81,,substitution,,True,,,B. Tsague,U. Kim,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,81,,substitution,,True,,,D. J. Kim,K. Jae-Hyun,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,79,,substitution,,False,,,S. Kim,D. Lee,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,75,,substitution,,True,,,Airton,G. Choi,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,75,,substitution,,True,,,D. Bakker,J. Lee,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,72,,substitution,,False,,,M. J. Lee,L. Min-Hyeok,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,64,,substitution,,True,,,J. H. Kim,K. Han,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,57,,card,J. Fernández,False,yellow,Foul,,,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,53,,substitution,,False,,,S. Mugoša,M. Ferrier,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,53,,substitution,,False,,,L. Ribeiro,G. Fernandes,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,46,,substitution,,False,,,C. Y. Lee,Y. Kim,,,,
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,45,,period,,,,,,,HT,,1,1
k_league_1_2026,2026-08-26,25,FC Anyang,Incheon United,2,1,45,1,goal,M. Oliveira,True,,,,,,,1,1
