league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,90,,period,,,,,,,FT,,2,0
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,90,,injuryTime,,,,,,,,3,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,84,,substitution,,False,,,I. Luna,V. Arteaga,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,84,,substitution,,False,,,C. Calderón,U. Antuna,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,84,,substitution,,True,,,D. Abreu,M. E. Ghezouani,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,82,,substitution,,True,,,P. N. Ortíz,A. Preciado,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,81,,goal,G. Mora,True,,,,,,,2,0
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,79,,varDecision,M. E. Ghezouani,True,,,,,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,77,,substitution,,True,,,R. Árciga,F. González,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,77,,substitution,,True,,,Á. Zapata,Y. Padilla,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,77,,substitution,,True,,,U. Bilbao,J. Vega,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,67,,substitution,,False,,,Juninho,A. Carrasquilla,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,67,,substitution,,False,,,P. Vite,A. Medina,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,60,,varDecision,P. Bennevendo,False,,,,,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,59,,card,P. Bennevendo,False,red,Foul,,,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,53,,goal,G. Mora,True,,,,,,,1,0
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,45,,period,,,,,,,HT,,0,0
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,45,,injuryTime,,,,,,,,1,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,33,,card,I. Tona,True,yellow,Foul,,,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Tijuana,Pumas UNAM,2,0,12,,card,A. Carrasquilla,False,yellow,Foul,,,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Necaxa,Cruz Azul,1,3,90,,period,,,,,,,FT,,1,3
liga_mx_apertura_2026,2026-08-29,6,Club Necaxa,Cruz Azul,1,3,90,4,card,J. Torres,True,yellow,Argument,,,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Necaxa,Cruz Azul,1,3,90,4,card,P. Pedraza,True,yellow,Foul,,,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Necaxa,Cruz Azul,1,3,90,,injuryTime,,,,,,,,5,,
liga_mx_apertura_2026,2026-08-29,6,Club Necaxa,Cruz Azul,1,3,86,,substitution,,False,,,J. Díaz,O. Campos,,,,
liga_mx_apertura_2026,2026-08-29,6,Club Necaxa,Cruz Azul,1,3,84,,substitution,,False,,,A. Montes,A. Garcia,,,,
