league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,24,,card,L. Borges,True,yellow,,,,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,45,,period,,,,,,,HT,,0,0
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,45,,injuryTime,,,,,,,,4,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,62,,substitution,,True,,,M. Agger,N. Lawa,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,62,,substitution,,True,,,F. Ulvestad,M. Juwara,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,62,,substitution,,True,,,K. Grosicki,J. Nsamé,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,67,,card,W. Urbański,False,yellow,Foul,,,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,81,,substitution,,False,,,V. Bichakhchyan,B. Kapustka,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,81,,substitution,,False,,,J. Żewłakow,Ł. Zjawiński,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,83,,substitution,,False,,,H. Arreiol,D. Szymański,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,88,,substitution,,False,,,Z. Arsenić,R. Deziel Jr.,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,88,,substitution,,False,,,A. Reca,R. Vinagre,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,90,,period,,,,,,,FT,,0,1
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,90,6,goal,Z. Arsenić,False,,,,,,,0,1
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,90,,substitution,,True,,,J. Biegański,K. Acosta,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,90,,substitution,,True,,,F. Čuić,P. Mukairu,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,90,,injuryTime,,,,,,,,7,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Radomiak Radom,Wieczysta Kraków,2,1,24,,card,Conrado,True,yellow,Foul,,,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Radomiak Radom,Wieczysta Kraków,2,1,28,,card,A. Tapsoba,True,yellow,Foul,,,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Radomiak Radom,Wieczysta Kraków,2,1,31,,varDecision,S. Feiertag,False,,,,,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Radomiak Radom,Wieczysta Kraków,2,1,33,,substitution,,False,,,A. Milić,D. Dujmović,,,,
polonia_ekstraklasa_2026_2027,2026-07-24,1,Radomiak Radom,Wieczysta Kraków,2,1,39,,card,Miki,False,yellow,Foul,,,,,,
