league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,5,,goal,A. Silva,False,,,,,,,0,1
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,18,,substitution,,False,,,M. Fernandes,Z. Sanusi,,,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,20,,goal,G. Veiga,False,,,,,,,0,2
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,38,,goal,W. Gomes,False,,,,,,,0,3
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,45,,period,,,,,,,HT,,0,3
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,45,,injuryTime,,,,,,,,6,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,46,,substitution,,False,,,N. Pérez,J. Bednarek,,,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,58,,substitution,,True,,,A. Mestanza,L. Silva,,,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,58,,substitution,,True,,,N. Mortimer,L. Gohi,,,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,60,,substitution,,False,,,H. In-beom,W. Gomes,,,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,60,,substitution,,False,,,B. Sainz,Pepê,,,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,70,,substitution,,True,,,M. Bouldini,A. Clóvis,,,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,70,,substitution,,True,,,A. Ceitil,C. Kahraman,,,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,82,,substitution,,False,,,A. Varela,A. Costa,,,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,84,,substitution,,True,,,P. Barcelos,N. Michelis,,,,
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,90,,period,,,,,,,FT,,0,3
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,90,,injuryTime,,,,,,,,3,,
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,3,,goal,Wesley Gasolina,True,,,,,,,1,0
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,40,,substitution,,True,,,M. Djaló,F. Soares,,,,
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,45,,period,,,,,,,HT,,1,1
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,45,1,goal,I. Stoica,False,,,,,,,1,1
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,45,,card,Zé Vitor,True,yellow,Foul,,,,,,
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,45,,injuryTime,,,,,,,,2,,
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,48,,card,W. Kokolo,True,yellow,Foul,,,,,,
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,62,,goal,A. Marcus,False,,,,,,,1,2
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,66,,goal,P. Messias Cardozo,True,,,,,,,2,2
