league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,32,,card,Y. Akgün,True,yellow,Foul,,,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,45,,period,,,,,,,HT,,0,0
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,45,,injuryTime,,,,,,,,3,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,53,,goal,V. Osimhen,True,,,,,,,1,0
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,54,,substitution,,False,,,M. Diomande,M. Karlsbakk,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,59,,goal,A. Kyziridis,False,,,,,,,1,1
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,61,,goal,J. Ramírez,False,,,,,,,1,2
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,68,,substitution,,False,,,M. Thiam,S. Gürler,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,70,,card,A. Kyziridis,False,red,Foul,,,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,71,,substitution,,True,,,M. Lemina,D. Sánchez,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,71,,substitution,,True,,,E. Elmalı,I. Jakobs,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,76,,substitution,,False,,,A. Ildız,Fredy,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,76,,substitution,,False,,,A. Sengul,H. Smolčić,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,84,,substitution,,True,,,K. Karataş,A. Bardakcı,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,84,,substitution,,True,,,İ. Gündoğan,L. Torreira,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,89,,substitution,,True,,,K. Ayhan,L. Sané,,,,
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,90,,period,,,,,,,FT,,2,2
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,90,,goal,V. Osimhen,True,,,,,,,2,2
turquia_super_lig_2026_2027,2026-08-14,1,Galatasaray,Çorum FK,2,2,90,,injuryTime,,,,,,,,7,,
turquia_super_lig_2026_2027,2026-08-15,1,Gaziantep FK,Alanyaspor,1,1,20,,goal,R. Pereira Duarte,False,,,,,,,0,1
turquia_super_lig_2026_2027,2026-08-15,1,Gaziantep FK,Alanyaspor,1,1,45,,period,,,,,,,HT,,0,1
turquia_super_lig_2026_2027,2026-08-15,1,Gaziantep FK,Alanyaspor,1,1,45,,injuryTime,,,,,,,,1,,
turquia_super_lig_2026_2027,2026-08-15,1,Gaziantep FK,Alanyaspor,1,1,53,,card,J. Bacuna,True,yellow,Foul,,,,,,
